SKU,型号P/N,类别,一级分类,分类路径,商品标题,单价USD,销量原文,销量(数值),评论数,标签(热门/新品),库存状态,可选配置,特性标签,主图URL,商品页URL,抓取日期,来源分类页
134657,S3900-48T6S-R,交换机整机/线卡,Switches,Switches > SME Switches,"S3900-48T6S-R, 48 x 1Gb RJ45, 6 x 10Gb SFP+, L2+ Managed Switch",569.0,26.2K Sold,26200,49,Hot,,,Realtek | 10G Uplink | Stacking | VLAN | LACP,https://resource.fs.com/mall/products/800x800/134657.main.jpg,https://www.fs.com/products/134657.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
148181,IES3110-8TFP-R,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES3110-8TFP-R, 8 x 1Gb RJ45, 2 x 1Gb SFP, L2+ Managed Industrial PoE+ Switch",209.0,12.9K Sold,12900,38,Hot,,,L2+ PoE+ | IP40 | PTP | ERPS,https://resource.fs.com/mall/mainImg/800x800/20260115165845zkhp8p.jpg,https://www.fs.com/products/148181.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
90131,S3400-24T4FP,交换机整机/线卡,Switches,Switches > SME Switches,"S3400-24T4FP, 24 x 1Gb RJ45, 4 x 1Gb Combo, L2+ Managed PoE+ Switch",549.0,12.9K Sold,12900,45,Hot,,,Realtek | 24 x PoE+ | 370W | ERPS | Voice VLAN,https://resource.fs.com/mall/mainImg/202310271703590pm9zh.jpg,https://www.fs.com/products/90131.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
108710,S5860-20SQ,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5860-20SQ, 20 x 10Gb SFP+, 4 x 25Gb SFP28, 2 x 40Gb QSFP+, L3 Managed Switch",1999.0,12.4K Sold,12400,99,Hot,,,BCM56170 | L3 | BGP OSPF | 10G SFP+ | Stacking | MLAG | Airware Cloud,https://resource.fs.com/mall/products/800x800/108710.main.jpg,https://www.fs.com/products/108710.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
183384,S3900-24T4S-R,交换机整机/线卡,Switches,Switches > SME Switches,"S3900-24T4S-R, 24 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed Switch",449.0,10.4K Sold,10400,3,Hot,,,Realtek | 10G Uplink | Fanless | Stacking | OSPF,https://resource.fs.com/mall/mainImg/202207071523585jyaun.jpg,https://www.fs.com/products/183384.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
115386,S3410-48TS-P,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S3410-48TS-P, 48 x 1Gb RJ45, 2 x 10Gb SFP+, 2 x 1Gb RJ45/SFP, L2+ Managed PoE+ Switch",1589.0,7.6K Sold,7600,31,Hot,,,BCM56150 | L2+ PoE+ | OSPF | 1G RJ45 | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/115386.main.jpg,https://www.fs.com/products/115386.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
148180,IES3110-8TF-R,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES3110-8TF-R, 8 x 1Gb RJ45, 2 x 1Gb SFP, L2+ Managed Industrial Switch",199.0,6.9K Sold,6900,44,Hot,,,L2+ | IP40 | PTP | ERPS,https://resource.fs.com/mall/mainImg/20230613121358a6ozvw.jpg,https://www.fs.com/products/148180.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
100969,S5800-48T4S,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5800-48T4S, 48 x 1Gb RJ45, 4 x 10Gb SFP+, L3 Managed Switch",1439.0,5.7K Sold,5700,76,Hot,,,L3 | BGP OSPF | 1G RJ45 | MLAG | MACsec,https://resource.fs.com/mall/mainImg/20231206094356kdct2q.jpg,https://www.fs.com/products/100969.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
138511,IES3100-8TF-P,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES3100-8TF-P, 8 x 1Gb RJ45, 2 x 1/2.5Gb SFP, L2+ Managed Industrial PoE+ Switch",389.0,5.3K Sold,5300,30,Hot,,,L2+ PoE+ | IP30 | PTP | MRP,https://resource.fs.com/mall/mainImg/20220622175259p6umzs.jpg,https://www.fs.com/products/138511.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
134656,S3900-24F4S-R,交换机整机/线卡,Switches,Switches > SME Switches,"S3900-24F4S-R, 24 x 1Gb SFP, 4 x 10Gb SFP+, L2+ Managed Switch",549.0,5.2K Sold,5200,25,Hot,,,Realtek | 10G Uplink | Stacking | Voice VLAN | OSPF,https://resource.fs.com/mall/products/800x800/134656.main.png,https://www.fs.com/products/134656.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
108718,S3410-24TS-P,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S3410-24TS-P, 24 x 1Gb RJ45, 2 x 10Gb SFP+, 2 x 1Gb RJ45/SFP, L2+ Managed PoE+ Switch",1209.0,5.1K Sold,5100,35,Hot,,,BCM56150 | L2+ PoE+ | OSPF | 1G RJ45 | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/108718.main.jpg,https://www.fs.com/products/108718.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
84912,S3700-24T4F,交换机整机/线卡,Switches,Switches > SME Switches,"S3700-24T4F, 24 x 1Gb RJ45, 4 x 1Gb SFP, L2+ Managed Switch",259.0,4.8K Sold,4800,35,,,,Realtek | 1G Uplink | Fanless | LACP | Voice VLAN,https://resource.fs.com/mall/mainImg/800x800/20251223152348ytbot5.jpg,https://www.fs.com/products/84912.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
103011,S3260-16T4FP,交换机整机/线卡,Switches,Switches > SME Switches,"S3260-16T4FP, 16 x 1Gb RJ45, 2 x 1G RJ45/SFP Combo, L2+ Managed PoE+ Switch",449.0,4.7K Sold,4700,36,,,,Realtek | 16 x PoE+ | 250W | VLAN | LACP,https://resource.fs.com/mall/mainImg/800x800/202602031709406kvobn.jpg,https://www.fs.com/products/103011.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
80365,S3260-8T2FP,交换机整机/线卡,Switches,Switches > SME Switches,"S3260-8T2FP, 8 x 1Gb RJ45, 2 x 1Gb SFP, L2+ Managed PoE+ Switch",319.0,4.7K Sold,4700,29,,,,Realtek | 8 x PoE+ | 240W | VLAN | LACP,https://resource.fs.com/mall/mainImg/20231027150232ajfynn.jpg,https://www.fs.com/products/80365.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
115388,S5810-48TS-P,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5810-48TS-P, 48 x 1Gb RJ45, 4 x 10Gb SFP+, L3 Managed PoE+ Switch",2319.0,4.6K Sold,4600,28,Hot,,,BCM56340 | L3 PoE+ | BGP OSPF | 1G RJ45 | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/115388.main.jpg,https://www.fs.com/products/115388.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
108714,S3910-48TS,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S3910-48TS, 48 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed Switch",1049.0,4.4K Sold,4400,25,Hot,,,BCM56150 | L2+ | OSPF | 1G RJ45 | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/108714.main.jpg,https://www.fs.com/products/108714.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
160708,S3100-8TMS-P,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S3100-8TMS-P, 8 x 1Gb RJ45, 2 x 5Gb RJ45, 2 x 10Gb SFP+, L2+ Managed PoE+ Switch",449.0,3.9K Sold,3900,12,Hot,,,"BCM56150 | L2+ PoE+ | OSPF | 1G, 5G RJ45 | Fanless | Airware Cloud",https://resource.fs.com/mall/mainImg/800x800/202508071526561hu3rd.jpg,https://www.fs.com/products/160708.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
122280,S5850-24S2Q,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5850-24S2Q, 24 x 10Gb SFP+, 2 x 40Gb QSFP+, L3 Managed Switch",1800.0,3.8K Sold,3800,25,Hot,,,L3 | BGP OSPF | 10G SFP+ | MLAG | MACsec,https://resource.fs.com/mall/products/800x800/122280.main.jpg,https://www.fs.com/products/122280.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
173302,S5850-48S6Q-R,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5850-48S6Q-R, 48 x 10Gb SFP+, 6 x 40Gb QSFP+, L3 Managed Switch",4249.0,3.6K Sold,3600,8,Hot,,,L3 | BGP OSPF | 10G SFP+ | MLAG,https://resource.fs.com/mall/mainImg/20231106103356o4ugbk.jpg,https://www.fs.com/products/173302.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
132532,S1900-16TP,交换机整机/线卡,Switches,Switches > SME Switches,"S1900-16TP, 16 x 1Gb RJ45, L2 Unmanaged PoE+ Switch",174.0,3.5K Sold,3500,37,,,,Marvell | 16 x PoE+ | 135W | Fanless | Plug and Play,https://resource.fs.com/mall/products/800x800/fs21c0qz25sh20210819110250.jpg,https://www.fs.com/products/132532.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
165979,S3400-24T4SP,交换机整机/线卡,Switches,Switches > SME Switches,"S3400-24T4SP, 24 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed PoE+ Switch",709.0,3.3K Sold,3300,5,Hot,,,Realtek | 24 x PoE+ | VLAN | LACP | OSPF,https://resource.fs.com/mall/mainImg/202211171827380v2ak9.jpg,https://www.fs.com/products/165979.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
138513,IES3110-16TF,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES3110-16TF, 16 x 1Gb RJ45, 2 x 1Gb SFP, L2 Managed Industrial Switch",409.0,3.2K Sold,3200,18,Hot,,,Realtek | L2 | IP30 | ERPS,https://resource.fs.com/mall/products/800x800/138513.main.jpg,https://www.fs.com/products/138513.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
193942,S2805S-48T4S,交换机整机/线卡,Switches,Switches > SME Switches,"S2805S-48T4S, 48 x 1Gb RJ45, 4 x 10Gb SFP+, L3 Smart Managed Switch",349.0,3K Sold,3000,1,Hot,,,Realtek | 10G Uplink | VLAN | LACP | OSPF,https://resource.fs.com/mall/mainImg/800x800/20251125160326xait4j.jpg,https://www.fs.com/products/193942.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
129517,S2800S-48T4F,交换机整机/线卡,Switches,Switches > SME Switches,"S2800S-48T4F, 48 x 1Gb RJ45, 4 x 1Gb SFP, L2+ Smart Managed Switch",349.0,2.9K Sold,2900,12,,,,Realtek | 1G Uplink | VLAN | LACP | DHCP,https://resource.fs.com/mall/products/800x800/129517.main.jpg,https://www.fs.com/products/129517.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
110478,N5860-48SC,交换机整机/线卡,Switches,Switches > Data Center Switches,"N5860-48SC, 48 x 10Gb SFP+, 8 x 100Gb QSFP28, Data Center Switch",5249.0,2.8K Sold,2800,61,Hot,,,TD3-X7 | EVPN-VXLAN | Stacking | MLAG,https://resource.fs.com/mall/products/800x800/110478.E.jpg,https://www.fs.com/products/110478.html,2026-09-02,https://www.fs.com/c/data-center-switches-3404
138510,IES3110-8TF,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES3110-8TF, 8 x 1Gb RJ45, 2 x 1/2.5Gb SFP, L2+ Managed Industrial Switch",349.0,2.7K Sold,2700,31,Hot,,,L2+ | IP30 | PTP | ERPS,https://resource.fs.com/mall/products/800x800/138510.main.jpg,https://www.fs.com/products/138510.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
149749,S5500-48T6SP-R,交换机整机/线卡,Switches,Switches > SME Switches,"S5500-48T6SP-R, 48 x 1Gb RJ45, 6 x 10Gb SFP+, L3 Managed PoE+ Switch",1949.0,2.7K Sold,2700,8,Hot,,,Realtek | 48 x PoE+ | 760W | Stacking | 802.1X,https://resource.fs.com/mall/products/800x800/149749.main.jpeg,https://www.fs.com/products/149749.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
108712,S3910-24TS,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S3910-24TS, 24 x 1Gb RJ45, 4 x 10Gb SFP+, L2+ Managed Switch",769.0,2.7K Sold,2700,40,,,,BCM56150 | L2+ | OSPF | 1G RJ45 | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/108712.main.jpg,https://www.fs.com/products/108712.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
163157,S3150-8T2F,交换机整机/线卡,Switches,Switches > SME Switches,"S3150-8T2F, 8 x 1Gb RJ45, 2 x 1Gb SFP, L2+ Managed Switch",119.0,2.6K Sold,2600,10,,,,Realtek | 1G Uplink | Fanless | VLAN | LACP,https://resource.fs.com/mall/mainImg/20221103165157okqimn.jpg,https://www.fs.com/products/163157.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
170148,S3400-48T6SP,交换机整机/线卡,Switches,Switches > SME Switches,"S3400-48T6SP, 48 x 1Gb RJ45, 6 x 10Gb SFP+, L2+ Managed PoE+ Switch",1149.0,2.5K Sold,2500,7,Hot,,,Realtek | 48 x PoE+ | 370W | Stacking | OSPF,https://resource.fs.com/mall/mainImg/20230112162839cwaqzr.jpg,https://www.fs.com/products/170148.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
132526,S1900-5T,交换机整机/线卡,Switches,Switches > SME Switches,"S1900-5T, 5 x 1Gb RJ45, L2 Unmanaged Switch",33.0,2K Sold,2000,23,,,,Realtek | Fanless | Plug and Play | Wall-mount,https://resource.fs.com/mall/products/800x800/132526.main.jpg,https://www.fs.com/products/132526.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
132527,S1900-8T,交换机整机/线卡,Switches,Switches > SME Switches,"S1900-8T, 8 x 1Gb RJ45, L2 Unmanaged Switch",40.0,1.8K Sold,1800,20,,,,Realtek | Fanless | Plug and Play | Wall-mount,https://resource.fs.com/mall/products/800x800/132527.main.jpg,https://www.fs.com/products/132527.html,2026-09-02,https://www.fs.com/c/sme-switches-4235
178952,S3950-4T12S-R,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S3950-4T12S-R, 12 x 10Gb SFP+, 4 x 1Gb RJ45, L2+ Managed Switch",1039.0,1.8K Sold,1800,13,Hot,,,L2+ | BGP | 10G SFP+ | MLAG,https://resource.fs.com/mall/mainImg/2023032411525389973j.jpg,https://www.fs.com/products/178952.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
108716,S5860-24XB-U,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5860-24XB-U, 24 x 10Gb RJ45, 4 x 10Gb SFP+, 4 x 25Gb SFP28, L3 Managed PoE++ Switch",4749.0,1.7K Sold,1700,49,,,,BCM56170 | L3 PoE++ | 10G RJ45 Multi. | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/108716.main.jpg,https://www.fs.com/products/108716.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
115385,S5860-48SC,交换机整机/线卡,Switches,Switches > Enterprise Switches,"S5860-48SC, 48 x 10Gb SFP+, 8 x 100Gb QSFP28, L3 Managed Switch",4569.0,1.7K Sold,1700,30,Hot,,,TD3-X7 | BGP OSPF | 10G SFP+ | Stacking | Airware Cloud,https://resource.fs.com/mall/products/800x800/115385.main.jpg,https://www.fs.com/products/115385.html,2026-09-02,https://www.fs.com/c/enterprise-switches-3079
201291,IES3220-8T4F-U,交换机整机/线卡,Switches,Switches > Industrial Ethernet Switches,"IES3220-8T4F-U, 8 x 1Gb RJ45, 4 x 1Gb SFP, L2+ Managed Industrial PoE++ Switch",559.0,1.5K Sold,1500,1,Hot,,,Marvell | L2+ PoE++ | IP41 | PROFINET | MRP,https://resource.fs.com/mall/mainImg/20240202181555a1snab.jpg,https://www.fs.com/products/201291.html,2026-09-02,https://www.fs.com/c/industrial-ethernet-switches-4073
